coordinate
"(-8.531750032318799, 115.20056280398818)"
"(-8.531749925993605, 115.20964580931873)"
"(-8.531749819668413, 115.21872881464678)"
"(-8.53174971334322, 115.22781181997232)"
"(-8.531749607018028, 115.23689482529534)"
"(-8.531749500692838, 115.24597783061584)"
"(-8.531749394367651, 115.25506083593385)"
"(-8.531749288042464, 115.26414384124934)"
"(-8.531749181717279, 115.27322684656231)"
"(-8.531749075392094, 115.28230985187277)"
"(-8.531748969066909, 115.29139285718071)"
"(-8.531748862741729, 115.30047586248615)"
"(-8.531748756416551, 115.30955886778908)"
"(-8.531748650091375, 115.31864187308949)"
"(-8.531748543766199, 115.32772487838739)"
"(-8.531748437441022, 115.33680788368278)"
"(-8.531748331115848, 115.34589088897566)"
"(-8.531748224790675, 115.35497389426602)"
