lat,lon,index_right,featurecla,scalerank,min_zoom
-8.461276269522726,115.26864297362404,9,Land,5.0,0.5
-8.461276164088241,115.27772432105138,9,Land,5.0,0.5
-8.461276058653759,115.28680566847628,9,Land,5.0,0.5
-8.461275953219278,115.2958870158987,9,Land,5.0,0.5
-8.4612758477848,115.30496836331864,9,Land,5.0,0.5
-8.461275742350319,115.31404971073611,9,Land,5.0,0.5
-8.461275636915843,115.32313105815112,9,Land,5.0,0.5
-8.461275531481366,115.33221240556368,9,Land,5.0,0.5
-8.461275426046893,115.34129375297375,9,Land,5.0,0.5
-8.46127532061242,115.35037510038136,9,Land,5.0,0.5
-8.46127521517795,115.35945644778649,9,Land,5.0,0.5
-8.46127510974348,115.36853779518916,9,Land,5.0,0.5
-8.461275004309014,115.37761914258935,9,Land,5.0,0.5
-8.461274898874546,115.38670048998708,9,Land,5.0,0.5
-8.461274793440081,115.39578183738232,9,Land,5.0,0.5
-8.461274688005615,115.40486318477512,9,Land,5.0,0.5
-8.461274582571152,115.41394453216544,9,Land,5.0,0.5
-8.46127447713669,115.42302587955328,9,Land,5.0,0.5
-8.46127437170223,115.43210722693864,9,Land,5.0,0.5
-8.461274266267774,115.44118857432156,9,Land,5.0,0.5
-8.461274160833318,115.450269921702,9,Land,5.0,0.5
-8.461274055398862,115.45935126907996,9,Land,5.0,0.5
-8.461273949964408,115.46843261645546,9,Land,5.0,0.5
-8.461273844529956,115.47751396382849,9,Land,5.0,0.5
-8.461273739095503,115.48659531119904,9,Land,5.0,0.5
-8.469109244086399,115.03706870514335,9,Land,5.0,0.5
-8.469109138552932,115.04615023613792,9,Land,5.0,0.5
-8.469109033019468,115.05523176713002,9,Land,5.0,0.5
-8.469108927486001,115.06431329811964,9,Land,5.0,0.5
-8.469108821952537,115.0733948291068,9,Land,5.0,0.5
-8.469108716419074,115.08247636009146,9,Land,5.0,0.5
-8.469108610885613,115.09155789107366,9,Land,5.0,0.5
-8.469108505352152,115.1006394220534,9,Land,5.0,0.5
-8.469108399818692,115.10972095303065,9,Land,5.0,0.5
-8.469108294285235,115.1188024840054,9,Land,5.0,0.5
-8.469108188751775,115.1278840149777,9,Land,5.0,0.5
-8.469108083218323,115.13696554594752,9,Land,5.0,0.5
-8.469107977684871,115.14604707691488,9,Land,5.0,0.5
-8.46910787215142,115.15512860787976,9,Land,5.0,0.5
-8.46910776661797,115.16421013884217,9,Land,5.0,0.5
-8.469107661084522,115.17329166980208,9,Land,5.0,0.5
-8.469107555551075,115.18237320075954,9,Land,5.0,0.5
-8.46910745001763,115.19145473171451,9,Land,5.0,0.5
-8.469107344484183,115.200536262667,9,Land,5.0,0.5
-8.469107238950738,115.20961779361704,9,Land,5.0,0.5
-8.469107133417296,115.2186993245646,9,Land,5.0,0.5
-8.469107027883854,115.22778085550968,9,Land,5.0,0.5
-8.469106922350417,115.23686238645227,9,Land,5.0,0.5
-8.469106816816979,115.24594391739242,9,Land,5.0,0.5
-8.469106711283542,115.25502544833007,9,Land,5.0,0.5
-8.469106605750106,115.26410697926526,9,Land,5.0,0.5
-8.469106500216672,115.27318851019795,9,Land,5.0,0.5
-8.469106394683239,115.2822700411282,9,Land,5.0,0.5
-8.469106289149805,115.29135157205596,9,Land,5.0,0.5
-8.469106183616374,115.30043310298124,9,Land,5.0,0.5
-8.469106078082943,115.30951463390406,9,Land,5.0,0.5
-8.469105972549519,115.3185961648244,9,Land,5.0,0.5
-8.469105867016095,115.32767769574228,9,Land,5.0,0.5
-8.46910576148267,115.33675922665766,9,Land,5.0,0.5
-8.469105655949246,115.34584075757056,9,Land,5.0,0.5
